millis,sens0,sens1,sens2
66900,456,421,480
67000,472,500,478
67100,492,466,477
67200,452,447,475
67300,470,485,480
67400,454,451,476
67500,438,487,474
67600,473,492,468
67700,445,543,481
67800,444,536,469
67900,419,430,469
68000,452,538,476
68100,424,526,473
68200,472,471,480
68300,468,538,477
68400,466,504,478
68500,464,472,472
68600,471,456,474
68700,466,518,475
68800,469,453,473
68900,479,469,481
69000,456,470,480
69100,464,481,471
69200,517,395,481
69300,485,489,485
69400,331,488,489
69500,547,480,478
69600,309,509,475
69700,538,424,478
69800,585,441,473
69900,459,493,472
70000,453,496,478
70100,464,474,476
70200,461,468,484
70300,494,445,478
70400,473,461,474
70500,485,467,482
70600,467,470,481
70700,539,576,474
70800,456,550,475
70900,478,524,474
71000,495,556,483
71100,432,524,473
71200,489,457,476
71300,377,611,477
71400,440,450,458
71500,418,352,486
71600,429,387,481
71700,466,442,483
71800,467,535,470
71900,460,439,480
72000,468,438,471
72100,463,474,476
72200,466,524,477
72300,466,505,479
72400,464,490,474
72500,460,459,480
72600,472,460,480
72700,476,469,481
72800,488,469,479
72900,460,451,476
73000,472,478,479
73100,475,482,474
73200,467,455,480
73300,468,507,483
73400,466,465,482
73500,458,466,479
73600,466,462,474
73700,469,468,476
73800,467,464,471
73900,466,467,481
74000,462,469,477
74100,461,454,473
74200,463,445,478
74300,467,452,478
74400,463,466,477
74500,465,474,480
74600,464,459,482
74700,464,465,475
74800,460,461,485
74900,463,462,476
75000,463,493,472
75100,466,465,473
75200,459,456,477
75300,460,472,479
75400,462,452,477
75500,468,459,479
75600,464,480,476
75700,461,470,475
75800,460,467,480
75900,461,456,479
